id;name_old_verbatim;name_old_clean;name_new;geo_long;geo_lat
379;Du Bouloi;Rue Du Bouloi;rue du Bouloi;2.3413;48.8638
380;Du Bourg L' Abbé;Rue Du Bourg L' Abbé;boulevard de Sébastopol;2.35138889;48.86444444
382;Du Buisson Saint Louis;Rue Du Buisson-saint-louis;rue du Buisson-Saint-Louis;2.37407;48.8727
383;Du Caire;Rue Du Caire;rue du Caire;2.35029;48.8677
384;Du Château D' Eau;Rue Du Château-d' Eau;rue du Château-d'Eau;2.35969;48.8704
386;Du Château Landon;Rue Du Château-landon;rue du Château-Landon;2.36358;48.8828
387;Du Chaume;Rue Du Chaume;rue des Archives;2.3578;48.860865
388;Du Cherche Midi;Rue Du Cherche-midi;rue du Cherche-Midi;2.32358;48.8479
389;Du Chevalier Du Guet;Rue Du Chevalier-du-guet;rue Jean-Lantier;2.34657;48.8585
390;Du Cirque;Rue Du Cirque;rue du Cirque;2.31542;48.8711
391;Du Cloître Saint Jacques;Rue Du Cloître-saint-jacques;rue Pierre-Lescot;2.34889;48.8633
392;Pigalle;Rue Pigalle;rue Jean-Baptiste-Pigalle;2.33754;48.8784
393;Du Cloître Saint Jacques L'hôpital;Rue Du Cloître-saint-jacques-l'hôpital;rue Pierre-Lescot;2.34889;48.8633
394;Du Cloître Saint Merri;Rue Du Cloître-saint-merri;rue du Cloître-Saint-Merri;2.35128;48.8591
395;Du Coq De La Verrerie;Rue Du Coq-de-la-verrerie;;;
396;Du Coq Héron;Rue Du Coq-héron;rue Coq-Héron;2.34201;48.8642
397;Du Coq Saint Honoré;Rue Du Coq-saint-honoré;rue de Marengo;2.3393;48.8618
398;Du Coq Saint Jean;Rue Du Coq-saint-jean;;;
399;Du Croissant;Rue Du Croissant;rue du Croissant;2.3442;48.8689
400;Du Cygne;Rue Du Cygne;rue du Cygne;2.34934;48.8632
401;Du Dauphin;Rue Du Dauphin;rue Dauphine;2.3394444444444;48.855
402;Du Dauphin;Rue Du Dauphin;rue Saint-Roch;2.33268;48.866
403;Du Dragon;Rue Du Dragon;rue du Dragon;2.33098;48.8534
405;Du Faubourg Poissonnière;Rue De Faubourg Poissonière;rue du Faubourg-Poissonnière;2.34852;48.8763
407;Notre Dame Des Victoires;Rue Notre-dame-des-victoires;rue Notre-Dame-des-Victoires;2.34175;48.8681
410;Du Faubourg Saint Antoine;Rue Du Faubourg Saint-antoine;passage de la Bonne-Graine;2.377;48.8519
411;Du Faubourg Saint Denis;Rue Du Faubourg-saint-denis;rue du Faubourg-Saint-Denis;2.3544444444444;48.873055555556
412;Du Faubourg Du Temple;Rue Du Faubourg-du-temple;rue du Faubourg-du-Temple;2.37061;48.8698
